Title,Author,Year,Keyword,Abstract available,Abstract,Citation count,Source,Type,Open access,DOI
Do climate policy uncertainty and investor sentiment drive the dynamic spillovers among green finance markets?,Ruirui Wu; Bing-Yue Liu,2023,stock market covid GARCH,Yes,"Green finance is an essential instrument for improving the environment and addressing climate change. This study investigates the dynamic spillovers among green finance markets using time-varying parameter vector autoregression (TVP-VAR) spillover indices, and further investigates the impact of climate policy uncertainty and investor sentiment on spillovers based on the generalised autoregressive conditional heteroscedasticity mixed data sampling (GARCH-MIDAS) model. The results indicate that: (i) environmental, social and governance (ESG), clean energy and water markets are information transmitters in the green finance system, whereas green building, green transportation, green bond and carbon markets are mainly information receivers; (ii) green stock markets including clean energy, non-energy and ESG markets transmit and receive greater information in the green finance system, while green bond and carbon markets do less; (iii) the green bond market is more interconnected with other green finance markets after the COVID-19 outbreak; (iv) investor sentiment contributes more to the net total directional spillovers of green resource markets (water and clean energy), while climate policy uncertainty contributes more to total spillovers and the net total directional spillovers of other green finance markets. These findings offer invaluable guidance for both policymakers and environmental investors.",124,Journal of environmental management,JournalArticle,False,10.1016/j.jenvman.2023.119008
Cue the volatility spillover in the cryptocurrency markets during the COVID-19 pandemic: evidence from DCC-GARCH and wavelet analysis,Onur Özdemir,2022,stock market covid GARCH,Yes,"This study investigates the dynamic mechanism of financial markets on volatility spillovers across eight major cryptocurrency returns, namely Bitcoin, Ethereum, Stellar, Ripple, Tether, Cardano, Litecoin, and Eos from November 17, 2019, to January 25, 2021. The study captures the financial behavior of investors during the COVID-19 pandemic as a result of national lockdowns and slowdown of production. Three different methods, namely, EGARCH, DCC-GARCH, and wavelet, are used to understand whether cryptocurrency markets have been exposed to extreme volatility. While GARCH family models provide information about asset returns at given time scales, wavelets capture that information across different frequencies without losing inputs from the time horizon. The overall results show that three cryptocurrency markets (i.e., Bitcoin, Ethereum, and Litecoin) are highly volatile and mutually dependent over the sample period. This result means that any kind of shock in one market leads investors to act in the same direction in the other market and thus indirectly causes volatility spillovers in those markets. The results also imply that the volatility spillover across cryptocurrency markets was more influential in the second lockdown that started at the beginning of November 2020. Finally, to calculate the financial risk, two methods—namely, value-at-risk (VaR) and conditional value-at-risk (CVaR)—are used, along with two additional stock indices (the Shanghai Composite Index and S&P 500). Regardless of the confidence level investigated, the selected crypto assets, with the exception of the USDT were found to have substantially greater downside risk than SSE and S&P 500.",86,Financial Innovation,JournalArticle,True,10.1186/s40854-021-00319-0
Connectedness between Defi assets and equity markets during COVID-19: A sector analysis,I. Yousaf; Francisco Jareño; Marta Tolentino,2022,stock market covid GARCH,Yes,"This paper explores the dynamic connectedness between Defi assets and sector stock markets focused around the COVID-19 pandemic crisis. For that aim, this research applies the TVP-VAR model, and it also computes the optimal weights and hedge ratios for the Defi assets–sector equity portfolios using the DCC-GARCH model. Our main findings reveal that static connectedness is slightly economy- and sector-dependent. Regarding the dynamic connectedness, as expected, the total spillover index changes over time, showing a cruel impact of the global pandemic declaration. Net spillover indices show relevant differences between the Defi assets and certain sectors (net receivers) and sectors such as industrials, materials and information technology (time-varying net transmitters). Finally, the optimal hedge ratios reveal similar levels of coverage in all the periods analyzed, with slight upturns in the cost of such coverage in the crisis period caused by COVID-19.",82,Technological Forecasting and Social Change,JournalArticle,True,10.1016/j.techfore.2022.122174
"Gold, bonds, and epidemics: A safe haven study",T. Choudhury; Harald Kinateder; Biwesh Neupane,2022,stock market covid GARCH,Yes,"The COVID-19 pandemic raised the question whether gold and sovereign bonds are a safe haven during epidemics. We study the effectiveness as safe haven during the epidemics caused by SARS, Ebola, Zika, Swine Flu, and COVID-19. To this end, this study employs a DCC-GARCH model to analyze the conditional correlations between daily returns of S&P 500 and MSCI Emerging Markets Index with gold and the major sovereign bonds. Our results show that gold is a weak safe haven for stock market investors during the epidemics, and U.S. treasuries are the safest option, followed by Japanese sovereign bonds.",80,Finance Research Letters,JournalArticle,True,10.1016/j.frl.2022.102978
Risk Connectedness Between Green and Conventional Assets with Portfolio Implications,M. Naeem; Sitara Karim; A. Tiwari,2022,stock market covid GARCH,Yes,"The increasing concerns of investors toward green bonds and their appealing nature of diversification has motivated the current research to study the risk connectedness between green and conventional assets spanning from August 2014 to December 2020. We first estimate the dynamic equi-correlations through DECO-GARCH. Next, we assess the dynamic and static risk connectedness in the median, extreme low, and extreme high quantiles arguing that spillovers vary across different time periods particularly during economically intense time periods. Finally, we analyzed the hedge ratio and hedge effectiveness between green bonds and other assets. We find that equi-correlations are intense during economic shocks such as the Shale oil crisis, Brexit, US interest rate hike, and COVID-19 pandemic. The volatility analysis at average, lower, and upper quantiles also validate time-varying attributes of green and conventional assets. Further, network figures of green and conventional assets identify potential diversification opportunities. Meanwhile, the hedge effectiveness indicates that green bonds are effective hedge for precious metals and cryptocurrencies. Our findings draw multiple implications for policymakers, green investors, financial market participants, and regulatory authorities regarding flight-to-safety during crisis times and maintaining a diverse portfolio to escape potential losses.",66,Computational Economics,JournalArticle,True,10.1007/s10614-022-10296-w
Economic Policy Uncertainty and Emerging Stock Market Volatility,M. Ghani; Usman Ghani,2023,stock market covid GARCH,Yes,"This research examines the effect of economic policy uncertainty (EPU) indices on Pakistan's stock market volatility. Particularly, we examine the impact of the economic policy uncertainty index for Pakistan and bilateral global trading partner countries, the US, China, and the UK. We employ the GARCH-MIDAS model and combination forecast approach to evaluate the performance of economic uncertainty indices. The empirical findings show that the US economic policy uncertainty index is a more powerful predictor of Pakistan stock market volatility. In addition, the EPU index for the UK also provides valuable information for equity market volatility prediction. Surprisingly, Pakistan and China EPU indices have no significant predictive information for volatility forecasting during the sample period. Lastly, we find evidence of all uncertainty indices during economic upheaval from the COVID-19 pandemic. We obtained identical results even during the Covid-19. Our findings are robust in various evaluation methods, like MCS tests and other forecasting windows.",65,Asia-Pacific Financial Markets,JournalArticle,True,10.1007/s10690-023-09410-1
The source of financial contagion and spillovers: An evaluation of the covid-19 pandemic and the global financial crisis,Samet Gunay; Gökberk Can,2022,stock market covid GARCH,Yes,"This study investigates the reaction of stock markets to the Covid-19 pandemic and the Global Financial Crisis of 2008 (GFC) and compares their influence in terms of risk exposures. The empirical investigation is conducted using the modified ICSS test, DCC-GARCH, and Diebold-Yilmaz connectedness analysis to examine financial contagion and volatility spillovers. To further reveal the impact of these two crises, the statistical features of tranquil and crisis periods under different time intervals are also compared. The test results show that although the outbreak’s origin was in China, the US stock market is the source of financial contagion and volatility spillovers during the pandemic, just as it was during the GFC. The propagation of shocks is considerably higher between developed economies compared to emerging markets. Additionally, the results show that the COVID-19 pandemic induced a more severe contagious effect and risk transmission than the GFC. The study provides an extensive examination of the COVID-19 pandemic and the GFC in terms of financial contagion and volatility spillovers. The results suggest the presence of strong co-movements of world stock markets with the US equity market, especially in periods of financial turmoil.",65,PLoS ONE,JournalArticle,True,10.1371/journal.pone.0261835
Risk connectedness between energy and stock markets: Evidence from oil importing and exporting countries,Noureddine Benlagha; Sitara Karim; M. Naeem; B. M. Lucey; S. Vigne,2022,stock market covid GARCH,Yes,"The surmounted environmental and energy challenges have motivated this study to explore the connectedness nexus between oil/renewable energy and stock markets for oil-exporting (importing) countries. We utilize the dynamic conditional correlation (DCC-GARCH) connectedness framework to compare the connectedness of oil/renewable energy with stock markets. Our results showcase higher total connectedness between renewable energy and stock markets. We find increased connectedness during three major pandemics (Swine Flu, EBOLA, and COVID-19). We performed a regression analysis that highlighted the impact of economic and financial uncertainties on connectedness as an additional analysis. The addition of dummy variables for three major pandemics indicates that COVID-19 significantly impacted the connectedness between oil/renewable energy and stock markets. For the robustness of our results, we employed time-varying vector autoregressions (TVP-VAR) connectedness framework to showcase that our results remain qualitatively similar and robust to different specifications. We draw useful implications for oil exporting and oil importing countries in particular, and we draft ramifications for investors, portfolio managers, policymakers, and macroprudential bodies in general.",61,Energy Economics,,False,10.1016/j.eneco.2022.106348
Impact of COVID-19 on volatility spillovers across international markets: Evidence from VAR asymmetric BEKK GARCH model,N. Arfaoui; I. Yousaf,2022,stock market covid GARCH,Yes,"This study contributes to the COVID-19 related literature in finance by examining asymmetric volatility spillover across stock, Bitcoin, gold and oil markets before and during the COVID-19 pandemic. Based on multivariate VAR asymmetric BEKK GARCH model, findings show that the interdependency across the examined markets intensified during the recent health crisis. Moreover, we find that oil market appears as major receivers of volatility spillovers, particularly from gold and stock market which is mostly the results of dramatic collapse of oil prices during the COVID-19 outbreak. We also document that gold exhibits a strong resilience during COVID-19 crisis, suggesting its potential hedging ability during uncertainty. As for asymmetric volatility spillover, findings show the highest sensitivity of oil and Bitcoin markets to gold and US stock markets. Our findings have important implications for investors, portfolio managers and policymakers. © 2022 World Scientific Publishing Company.",59,Annals of Financial Economics,,False,10.1142/s201049522250004x
"In search of hedges and safe havens during the COVID─19 pandemic: Gold versus Bitcoin, oil, and oil uncertainty",N. Al-Nassar; Sabri Boubaker; A. Chaibi; Beljid Makram,2022,stock market covid GARCH,Yes,"This paper investigates the potential hedging and safe-haven properties of several alternative investment assets, including gold, Bitcoin, oil, and the oil price volatility index (OVX), against the risks of the Saudi stock market and its constituent sectors in different phases of the COVID—19 pandemic. Using daily data, we employ the bivariate dynamic conditional correlation-generalized autoregressive conditional heteroskedasticity (DCC—GARCH) technique to model volatilities and conditional correlations. Our findings show that all investigated alternative investment assets had a time-varying hedging role in the Saudi stock market, which became expensive during the early stages of the COVID—19 pandemic. Our results also show that the optimal weights for gold were substantially higher than those of other assets, reaching a peak during the pandemic, implying that investors consider gold a flight-to-safety asset. Additionally, we find that gold and OVX were strong hedges and could have served as weak safe havens for investors during the early stages of the COVID—19 pandemic, while the remaining assets generally lacked these properties and could be merely used as diversifiers. Our empirical findings offer several key implications for policymakers and portfolio managers in Saudi Arabia that may be applicable to similar markets. In particular, we show that OVX-based products can serve as a promising hedging asset for stock markets in oil-exporting countries.",57,The Quarterly Review of Economics and Finance,JournalArticle,True,10.1016/j.qref.2022.10.010
