Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,3536.59,3538.69,3295.74,3296.26,0
2016-01-05,3196.65,3328.14,3189.61,3287.71,0
2016-01-06,3291.2,3362.97,3288.93,3361.84,0
2016-01-07,3309.66,3309.66,3115.89,3125,0
2016-01-08,3194.63,3235.45,3056.88,3186.41,0
2016-01-11,3131.85,3166.22,3016.7,3016.7,0
2016-01-12,3026.16,3047.66,2978.46,3022.86,0
2016-01-13,3041.11,3059.02,2949.29,2949.6,0
2016-01-14,2874.05,3012.29,2867.55,3007.65,0
2016-01-15,2988.05,3001.71,2883.87,2900.97,0
2016-01-18,2847.54,2945.45,2844.7,2913.84,0
2016-01-19,2914.41,3012.07,2906.4,3007.74,0
2016-01-20,2993.01,3016.28,2951.92,2976.69,0
2016-01-21,2934.39,2998.79,2880.09,2880.48,0
2016-01-22,2911.11,2931.36,2851.73,2916.56,0
2016-01-25,2934.08,2955.78,2911.83,2938.52,0
2016-01-26,2907.72,2911.99,2743.84,2749.79,0
2016-01-27,2756.08,2768.77,2638.3,2735.56,0
2016-01-28,2711.16,2740.54,2647.49,2655.66,0
2016-01-29,2652.85,2755.37,2649.79,2737.6,0
2016-02-01,2730.98,2735.26,2655.62,2688.85,0
2016-02-02,2687.98,2755.16,2687.98,2749.57,0
2016-02-03,2719.57,2746.07,2696.88,2739.25,0
2016-02-04,2751.43,2793.3,2751.31,2781.02,0
2016-02-05,2783.08,2790.06,2762.16,2763.49,0
2016-02-15,2684.96,2760.36,2682.09,2746.2,0
2016-02-16,2758.58,2840.62,2758.58,2836.57,0
2016-02-17,2829.76,2868.7,2824.36,2867.34,0
2016-02-18,2881.78,2893.22,2857.7,2862.89,0
2016-02-19,2854.9,2872.72,2840.49,2860.02,0
2016-02-22,2888.6,2933.96,2880.35,2927.18,0
2016-02-23,2925.71,2928.05,2872.28,2903.33,0
2016-02-24,2889.89,2929.87,2872.27,2928.9,0
2016-02-25,2922.24,2922.24,2729.85,2741.25,0
2016-02-26,2760.06,2784.75,2715.87,2767.21,0
2016-02-29,2754.81,2755.89,2638.96,2687.98,0
2016-03-01,2688.38,2747.56,2668.76,2733.17,0
2016-03-02,2733.77,2852.7,2732.54,2849.68,0
2016-03-03,2847.33,2878.45,2840.87,2859.76,0
2016-03-04,2848.54,2880.37,2808.85,2874.15,0
2016-03-07,2886.64,2911.84,2871.35,2897.34,0
2016-03-08,2895.67,2902.62,2802.56,2901.39,0
2016-03-09,2839.41,2863.02,2811.72,2862.56,0
2016-03-10,2847.57,2863.18,2803.48,2804.73,0
2016-03-11,2781.6,2815.61,2772.55,2810.31,0
2016-03-14,2830.08,2889.82,2823.03,2859.5,0
