Price,Close,High,Low,Open,Volume
Ticker,^STOXX,^STOXX,^STOXX,^STOXX,^STOXX
Date,,,,,
2016-01-04,356.6600036621094,365.4800109863281,354.8299865722656,365.4800109863281,243130400
2016-01-05,358.8800048828125,360.5,354.94000244140625,358.0299987792969,206352600
2016-01-06,354.3500061035156,358.44000244140625,352.04998779296875,358.44000244140625,232094300
2016-01-07,346.510009765625,351.4700012207031,341.4599914550781,351.4700012207031,337412400
2016-01-08,341.3500061035156,349.5199890136719,341.3500061035156,346.5899963378906,268821900
2016-01-11,340.2300109863281,344.510009765625,340.19000244140625,340.5799865722656,269748200
2016-01-12,343.2200012207031,346.6700134277344,339.04998779296875,339.6600036621094,270171300
2016-01-13,344.6300048828125,349.5799865722656,343.2200012207031,345.29998779296875,279898100
2016-01-14,339.4200134277344,342.94000244140625,333.260009765625,342.94000244140625,348787600
2016-01-15,329.8399963378906,339.79998779296875,327.9200134277344,338.8800048828125,378769900
2016-01-18,328.6400146484375,333.8500061035156,327.1099853515625,330.04998779296875,284947300
2016-01-19,332.92999267578125,336.4599914550781,331.1499938964844,331.1499938964844,313181900
2016-01-20,322.2900085449219,328.7900085449219,320.4599914550781,328.7900085449219,409270100
2016-01-21,328.510009765625,330.2200012207031,321.69000244140625,322.510009765625,413156400
2016-01-22,338.3599853515625,340.5299987792969,330.7300109863281,330.7300109863281,364672300
2016-01-25,336.2699890136719,339.6000061035156,334.8500061035156,338.989990234375,279402700
2016-01-26,339.20001220703125,339.8299865722656,329.489990234375,333.510009765625,313560600
2016-01-27,340.239990234375,340.239990234375,335.8599853515625,338.69000244140625,275772100
2016-01-28,334.8900146484375,341.30999755859375,332.7799987792969,339.7200012207031,339279700
2016-01-29,342.2699890136719,342.2699890136719,336.4599914550781,337.1000061035156,342367500
2016-02-01,341.6099853515625,344.0799865722656,338.1400146484375,343.510009765625,296422100
2016-02-02,334.5899963378906,341.1300048828125,332.8900146484375,341.1300048828125,328707000
2016-02-03,329.42999267578125,335.1000061035156,326.010009765625,334.6400146484375,367537400
2016-02-04,328.760009765625,332.95001220703125,324.6600036621094,330.6400146484375,372182400
2016-02-05,325.8999938964844,331.1499938964844,325.3599853515625,328.29998779296875,385851000
2016-02-08,314.3599853515625,327.760009765625,313.239990234375,326.7799987792969,364791100
2016-02-09,309.3900146484375,316.54998779296875,306.1199951171875,314.67999267578125,449796900
2016-02-10,315.19000244140625,318.3900146484375,309.04998779296875,310.2799987792969,398242700
2016-02-11,303.5799865722656,313.6499938964844,302.5899963378906,313.6499938964844,445088400
2016-02-12,312.4100036621094,312.4100036621094,305.54998779296875,305.54998779296875,406347100
2016-02-15,321.760009765625,322.8699951171875,315.9700012207031,315.9700012207031,320025700
2016-02-16,320.3699951171875,324.25,318.6199951171875,322.760009765625,324463000
2016-02-17,328.7699890136719,328.80999755859375,320.45001220703125,320.45001220703125,350329500
2016-02-18,328.9100036621094,332.1099853515625,326.8699951171875,329.5,333436800
2016-02-19,326.3699951171875,329.7300109863281,324.0799865722656,328.2099914550781,298087000
2016-02-22,331.82000732421875,332.4200134277344,327.3299865722656,327.3299865722656,268581300
2016-02-23,327.7799987792969,331.8599853515625,327.510009765625,331.05999755859375,287281600
2016-02-24,320.2300109863281,326.989990234375,318.489990234375,326.989990234375,314745900
2016-02-25,326.5400085449219,327.79998779296875,321.7900085449219,321.7900085449219,300927000
2016-02-26,331.5400085449219,333.2300109863281,328.010009765625,328.010009765625,296913600
2016-02-29,333.9200134277344,334.1300048828125,327.4700012207031,330.3399963378906,333329300
2016-03-01,338.7200012207031,338.8699951171875,332.4100036621094,333.760009765625,303862300
2016-03-02,340.9700012207031,341.7200012207031,338.1199951171875,339.7900085449219,357191000
